timestamp,lat,lon,vel,elev,prox,warninglight
a23:20:39.0 28/11/2017,37.8672,-122.2612,2.59,65.1,0,0
a23:20:40.984 28/11/2017,37.8672,-122.2612,3.2,65.1,0,0
a23:20:42.0 28/11/2017,37.8672,-122.2612,3.13,65.1,0,0
a23:20:43.0 28/11/2017,37.8672,-122.2612,1.82,65.1,0,0
a23:20:44.984 28/11/2017,37.8673,-122.2612,2.74,65.1,0,0
a23:20:46.0 28/11/2017,37.8673,-122.2612,2.78,65.1,0,0
a23:20:47.0 28/11/2017,37.8673,-122.2612,3.04,65.1,0,0
a23:20:48.984 28/11/2017,37.8673,-122.2612,3.07,65.1,0,0
a23:20:50.0 28/11/2017,37.8673,-122.2612,2.69,65.1,0,0
a23:20:52.0 28/11/2017,37.8674,-122.2612,2.5,65.1,0,0
a23:20:52.984 28/11/2017,37.8674,-122.2612,2.56,65.1,0,0
a23:20:54.0 28/11/2017,37.8674,-122.2612,2.12,65.1,0,0
a23:20:56.0 28/11/2017,37.8674,-122.2612,2.53,65.1,0,0
a23:20:56.984 28/11/2017,37.8674,-122.2612,1.66,65.1,0,0
a23:20:59.0 28/11/2017,37.8674,-122.2613,2.07,65.1,0,0
a23:21:0.0 28/11/2017,37.8675,-122.2612,3.04,65.1,0,0
a23:21:0.984 28/11/2017,37.8675,-122.2612,3.36,65.1,0,0
a23:21:3.0 28/11/2017,37.8675,-122.2612,3.22,65.1,0,0
a23:21:4.0 28/11/2017,37.8675,-122.2612,2.76,65.1,0,0
a23:21:4.984 28/11/2017,37.8675,-122.2612,2.79,65.1,0,0
a23:21:6.0 28/11/2017,37.8675,-122.2612,2.8,65.1,0,0
a23:21:8.0 28/11/2017,37.8675,-122.2611,2.32,65.1,0,0
a23:21:8.984 28/11/2017,37.8675,-122.2611,2.2,65.1,0,0
a23:21:10.0 28/11/2017,37.8675,-122.2611,1.98,65.1,0,0
a23:21:12.0 28/11/2017,37.8675,-122.2611,2.87,65.1,0,0
a23:21:12.984 28/11/2017,37.8675,-122.2611,1.95,65.1,0,0
a23:21:15.0 28/11/2017,37.8675,-122.2611,1.78,65.1,0,0
a23:21:16.0 28/11/2017,37.8676,-122.2611,2.55,65.1,0,0
a23:21:16.984 28/11/2017,37.8676,-122.2611,2.07,65.1,0,0
a23:21:19.0 28/11/2017,37.8676,-122.261,2.66,65.1,0,0
a23:21:20.0 28/11/2017,37.8676,-122.261,2.6,65.1,0,0
a23:21:20.984 28/11/2017,37.8676,-122.261,2.37,65.1,0,0
a23:21:23.0 28/11/2017,37.8676,-122.2609,3.29,65.1,0,0
a23:21:24.0 28/11/2017,37.8676,-122.2609,3.34,65.1,0,0
a23:21:24.984 28/11/2017,37.8676,-122.2609,2.22,65.1,0,0
a23:21:27.0 28/11/2017,37.8676,-122.2609,2.22,71.3,0,0
a23:21:28.0 28/11/2017,37.8676,-122.2609,2.52,71.3,0,0
a23:21:28.984 28/11/2017,37.8676,-122.2608,3.55,71.3,0,0
a23:21:30.0 28/11/2017,37.8676,-122.2608,3.15,71.3,0,0
a23:21:32.0 28/11/2017,37.8677,-122.2608,3.43,71.3,0,0
a23:21:32.984 28/11/2017,37.8677,-122.2608,3.95,71.3,0,0
a23:21:35.0 28/11/2017,37.8677,-122.2607,3.95,70.5,0,0
a23:21:36.0 28/11/2017,37.8677,-122.2607,2.9,70.5,0,0
a23:21:36.984 28/11/2017,37.8677,-122.2607,2.88,70.5,0,0
a23:21:38.0 28/11/2017,37.8677,-122.2606,3,70.5,0,0
a23:21:40.0 28/11/2017,37.8677,-122.2606,3.31,70.5,0,0
a23:21:40.984 28/11/2017,37.8677,-122.2606,3.01,70.5,0,0
a23:21:42.0 28/11/2017,37.8677,-122.2606,2.8,70.5,0,0
a23:21:44.0 28/11/2017,37.8677,-122.2605,3.38,70.5,0,0
a23:21:44.984 28/11/2017,37.8677,-122.2605,3.18,70.5,0,0
a23:21:46.0 28/11/2017,37.8677,-122.2605,2.86,70.5,0,0
a23:21:48.0 28/11/2017,37.8677,-122.2604,3.22,70.5,0,0
a23:21:48.984 28/11/2017,37.8677,-122.2604,3.74,70.5,0,0
a23:21:52.0 28/11/2017,37.8677,-122.2603,3.24,70.5,0,0
a23:21:52.984 28/11/2017,37.8677,-122.2603,3.19,70.5,0,0
a23:21:54.0 28/11/2017,37.8677,-122.2603,3.42,70.5,0,0
a23:21:56.0 28/11/2017,37.8677,-122.2602,3.22,70.5,0,0
a23:21:56.984 28/11/2017,37.8677,-122.2602,1.99,70.5,0,0
a23:21:58.0 28/11/2017,37.8677,-122.2602,4.08,70.5,0,0
a23:22:0.0 28/11/2017,37.8677,-122.2602,4.08,67,0,0
a23:22:0.984 28/11/2017,37.8677,-122.2601,2.96,67,0,0
a23:22:2.0 28/11/2017,37.8677,-122.2601,2.99,67,0,0
a23:22:4.0 28/11/2017,37.8677,-122.2601,3.95,67,0,0
a23:22:4.984 28/11/2017,37.8677,-122.26,3.15,67,0,0
a23:22:6.0 28/11/2017,37.8677,-122.26,3.32,67,0,0
a23:22:8.0 28/11/2017,37.8676,-122.26,3.32,65.1,0,0
a23:22:8.984 28/11/2017,37.8676,-122.2599,3.12,65.1,0,0
a23:22:10.0 28/11/2017,37.8677,-122.2599,2.82,65.1,0,0
a23:22:12.0 28/11/2017,37.8677,-122.2599,2.97,65.1,0,0
a23:22:12.984 28/11/2017,37.8677,-122.2599,3.34,65.1,0,0
a23:22:14.0 28/11/2017,37.8677,-122.2599,3.54,65.1,0,0
a23:22:16.0 28/11/2017,37.8677,-122.2598,3.54,63.6,0,0
a23:22:16.984 28/11/2017,37.8677,-122.2598,2.3,63.6,0,0
a23:22:18.0 28/11/2017,37.8677,-122.2598,1.57,63.6,0,0
a23:22:19.0 28/11/2017,37.8678,-122.2598,3.55,63.6,0,0
a23:22:20.984 28/11/2017,37.8678,-122.2598,3.3,63.6,0,0
a23:22:22.0 28/11/2017,37.8678,-122.2598,3.55,63.6,0,0
a23:22:23.0 28/11/2017,37.8678,-122.2598,2.98,63.6,0,0
a23:22:24.984 28/11/2017,37.8679,-122.2599,3.18,63.6,0,0
a23:22:26.0 28/11/2017,37.8679,-122.2599,2.69,63.6,0,0
a23:22:28.0 28/11/2017,37.8679,-122.2599,2.69,63,0,0
a23:22:30.0 28/11/2017,37.8679,-122.2599,0.48,63,0,0
a23:22:31.0 28/11/2017,37.8679,-122.2599,0.32,63,0,0
a23:22:32.0 28/11/2017,37.8679,-122.2599,0.49,63,0,0
a23:22:36.0 28/11/2017,37.8679,-122.2599,2.02,63,0,0
a23:22:36.984 28/11/2017,37.8679,-122.2599,1.57,63,0,0
a23:22:38.0 28/11/2017,37.8679,-122.2599,0.37,63,0,0
